rotten_tomatoes_link,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,release_year,streaming_release_year,release_month,streaming_month
m/10008621-run_fat_boy_run,Rotten,47.0,154.0,Upright,64.0,102884.0,39,72,82,2007,2010,9,7
m/10008652-closing_escrow,Rotten,54.0,13.0,Spilled,36.0,1123.0,7,7,6,2007,2016,2,8
m/10008655-whiteout,Rotten,7.0,116.0,Spilled,21.0,538861.0,28,8,108,2009,2011,9,6
m/10008661-randy_and_the_mob,Rotten,56.0,9.0,Spilled,39.0,288.0,4,5,4,2007,2017,10,5
m/10008667-black_irish,Rotten,31.0,13.0,Spilled,58.0,1685.0,3,4,9,2007,2020,10,5
m/10008678-wild_child,Rotten,41.0,27.0,Upright,61.0,17496.0,9,11,16,2008,2014,8,2
m/10008687-powder_blue,Rotten,25.0,8.0,Spilled,40.0,7416.0,2,2,6,2009,2017,5,4
m/10008698-king_corn,Fresh,96.0,26.0,Upright,78.0,3201.0,12,25,1,2007,2016,10,6
m/10008700-darfur_now,Fresh,73.0,59.0,Upright,73.0,2308.0,29,43,16,2007,2008,11,5
m/10008701-laaga_chunari_mein_daag,Rotten,50.0,6.0,Spilled,58.0,3785.0,1,3,3,2007,2017,10,3
m/10008703-rails_and_ties,Rotten,34.0,47.0,Spilled,58.0,10100.0,22,16,31,2007,2009,10,12
m/10008706-house,Rotten,0.0,13.0,Spilled,27.0,16715.0,1,0,13,2008,2016,11,10
m/10008744-canvas,Fresh,78.0,27.0,Upright,62.0,571.0,16,21,6,2007,2016,10,1
m/10008748-saawariya,Rotten,38.0,21.0,Spilled,46.0,5828.0,10,8,13,2007,2012,11,5
m/10008752-aaja_nachle,Fresh,67.0,6.0,Upright,72.0,4354.0,2,4,2,2007,2017,11,3
m/10008754-flawless,Rotten,55.0,95.0,Spilled,54.0,12577.0,29,52,43,2008,2017,3,2
m/10008760-what_happens_in_vegas,Rotten,26.0,133.0,Upright,65.0,501711.0,38,34,99,2008,2012,4,9
m/10008785-appaloosa,Fresh,76.0,164.0,Spilled,55.0,55694.0,43,125,39,2008,2010,10,11
m/10008786-good,Rotten,32.0,71.0,Spilled,32.0,41569.0,27,23,48,2008,2016,9,8
m/10008830-bill,Rotten,20.0,20.0,Spilled,44.0,8165.0,6,4,16,2008,2016,4,12
m/10008849-married_life,Rotten,54.0,118.0,Spilled,36.0,5083.0,38,64,54,2008,2014,3,2
m/10008856-badland,Rotten,16.0,19.0,Spilled,54.0,294.0,7,3,16,2007,2017,11,1
m/10008924-oxford_murders,Rotten,17.0,12.0,Spilled,33.0,14554.0,3,2,10,2010,2017,8,2
m/10008954-untraceable,Rotten,16.0,148.0,Spilled,52.0,225138.0,41,24,124,2008,2012,1,4
m/10008991-informers,Rotten,12.0,105.0,Spilled,18.0,18505.0,38,13,92,2009,2012,4,4
m/10008992-meeting_resistance,Fresh,82.0,22.0,Spilled,47.0,200.0,11,18,4,2007,2008,10,5
m/10009001-the_freshman,Fresh,94.0,49.0,Upright,61.0,11850.0,17,46,3,1990,2013,7,5
m/10009029-kenny,Fresh,100.0,25.0,Upright,86.0,8978.0,11,25,0,2008,2020,3,4
m/10009055-rocker,Rotten,41.0,123.0,Spilled,46.0,44190.0,39,50,73,2008,2015,6,11
m/10009063-perfect_holiday,Rotten,19.0,59.0,Spilled,52.0,159645.0,25,11,48,2007,2012,12,4
