rotten_tomatoes_link,movie_title,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,release_year,streaming_release_year
m/1010824-ivanhoe,Ivanhoe,Fresh,81.0,16.0,Upright,64.0,5038.0,3,13,3,1952,2013
m/1010837-jack_and_the_beanstalk,Jack and the Beanstalk,Rotten,43.0,7.0,Spilled,38.0,437.0,0,3,4,1952,2014
m/1010889-jamaica_inn,Jamaica Inn,Rotten,57.0,21.0,Spilled,36.0,4025.0,5,12,9,1939,2016
m/1010939-jason_and_the_argonauts,Jason and the Argonauts,Fresh,89.0,45.0,Upright,79.0,22745.0,5,40,5,1963,2012
m/1010978-jazz_singer,The Jazz Singer,Fresh,75.0,28.0,Spilled,56.0,4506.0,4,21,7,1927,2009
m/1010979-jazz_singer,The Jazz Singer,Rotten,19.0,21.0,Upright,70.0,4953.0,4,4,17,1980,2016
m/1011028-jesus_christ_superstar,Jesus Christ Superstar,Rotten,52.0,25.0,Upright,76.0,36376.0,3,13,12,1973,2016
m/1011176-johnny_belinda,Johnny Belinda,Fresh,89.0,9.0,Upright,88.0,1429.0,0,8,1,1948,2016
m/1011295-judex,Judex,Fresh,90.0,10.0,Upright,82.0,390.0,1,9,1,1963,2016
m/1011328-julius_caesar,Julius Caesar,Fresh,95.0,22.0,Upright,81.0,5248.0,6,21,1,1953,2008
m/1011329-julius_caesar,Julius Caesar,Rotten,40.0,5.0,Spilled,35.0,2698.0,2,2,3,1970,2018
m/1011338-jungle_book,Jungle Book,Rotten,57.0,14.0,Spilled,56.0,897.0,4,8,6,1942,2014
m/1011392-kansas,Kansas,Rotten,20.0,10.0,Spilled,19.0,1402.0,1,2,8,1988,2017
m/1011487-kickboxer,Kickboxer,Rotten,36.0,11.0,Upright,65.0,51359.0,3,4,7,1989,2017
